PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,AgeGroup,HasCabin,Deck,FareIsZero,FareCapped,FareLog,FamilySize,IsAlone
31,0,1,male,40.0,0,0,27.7208,C,Rare,Adult,0,Unknown,0,27.7208,3.357621598945279,1,1
32,1,1,female,40.0,1,0,146.5208,C,Mrs,Adult,1,B,0,65.6344,4.993969182787072,2,0
33,1,3,female,18.0,0,0,7.75,Q,Miss,Teen,0,Unknown,0,7.75,2.169053700369523,1,1
34,0,2,male,66.0,0,0,10.5,S,Mr,Senior,0,Unknown,0,10.5,2.4423470353692043,1,1
35,0,1,male,28.0,1,0,82.1708,C,Mr,Young Adult,0,Unknown,0,65.6344,4.420896324687287,2,0
36,0,1,male,42.0,1,0,52.0,S,Mr,Adult,0,Unknown,0,52.0,3.970291913552122,2,0
37,1,3,male,26.0,0,0,7.2292,C,Mr,Young Adult,0,Unknown,0,7.2292,2.1076888046179385,1,1
38,0,3,male,21.0,0,0,8.05,S,Mr,Young Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
39,0,3,female,18.0,2,0,18.0,S,Miss,Teen,0,Unknown,0,18.0,2.9444389791664403,3,0
40,1,3,female,14.0,1,0,11.2417,C,Miss,Teen,0,Unknown,0,11.2417,2.5048481563289,2,0
41,0,3,female,40.0,1,0,9.475,S,Mrs,Adult,0,Unknown,0,9.475,2.348991465808201,2,0
42,0,2,female,27.0,1,0,21.0,S,Mrs,Young Adult,0,Unknown,0,21.0,3.091042453358316,2,0
43,0,3,male,26.0,0,0,7.8958,C,Mr,Young Adult,0,Unknown,0,7.8958,2.1855792552411137,1,1
44,1,2,female,3.0,1,2,41.5792,C,Miss,Child,0,Unknown,0,41.5792,3.7513658711253766,4,0
45,1,3,female,19.0,0,0,7.8792,Q,Miss,Young Adult,0,Unknown,0,7.8792,2.1837114628556327,1,1
46,0,3,male,26.0,0,0,8.05,S,Mr,Young Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
47,0,3,male,26.0,1,0,15.5,Q,Mr,Young Adult,0,Unknown,0,15.5,2.803360380906535,2,0
48,1,3,female,18.0,0,0,7.75,Q,Miss,Teen,0,Unknown,0,7.75,2.169053700369523,1,1
49,0,3,male,26.0,2,0,21.6792,C,Mr,Young Adult,0,Unknown,0,21.6792,3.1214482048688246,3,0
50,0,3,female,18.0,1,0,17.8,S,Mrs,Teen,0,Unknown,0,17.8,2.9338568698359038,2,0
51,0,3,male,7.0,4,1,39.6875,S,Master,Child,0,Unknown,0,39.6875,3.705920919968788,6,0
52,0,3,male,21.0,0,0,7.8,S,Mr,Young Adult,0,Unknown,0,7.8,2.174751721484161,1,1
53,1,1,female,49.0,1,0,76.7292,C,Mrs,Adult,1,D,0,65.6344,4.353230991152628,2,0
54,1,2,female,29.0,1,0,26.0,S,Mrs,Young Adult,0,Unknown,0,26.0,3.295836866004329,2,0
55,0,1,male,65.0,0,1,61.9792,C,Mr,Senior,1,B,0,61.9792,4.142804513146981,2,0
56,1,1,male,40.0,0,0,35.5,S,Mr,Adult,1,C,0,35.5,3.597312260588446,1,1
57,1,2,female,21.0,0,0,10.5,S,Miss,Young Adult,0,Unknown,0,10.5,2.4423470353692043,1,1
58,0,3,male,28.5,0,0,7.2292,C,Mr,Young Adult,0,Unknown,0,7.2292,2.1076888046179385,1,1
59,1,2,female,5.0,1,2,27.75,S,Miss,Child,0,Unknown,0,27.75,3.3586377672433594,4,0
60,0,3,male,11.0,5,2,46.9,S,Master,Child,0,Unknown,0,46.9,3.8691155044168695,8,0
61,0,3,male,22.0,0,0,7.2292,C,Mr,Young Adult,0,Unknown,0,7.2292,2.1076888046179385,1,1
62,1,1,female,38.0,0,0,80.0,S,Miss,Adult,1,B,0,65.6344,4.394449154672439,1,1
63,0,1,male,45.0,1,0,83.475,S,Mr,Adult,1,C,0,65.6344,4.436455632600354,2,0
64,0,3,male,4.0,3,2,27.9,S,Master,Child,0,Unknown,0,27.9,3.3638415951183864,6,0
65,0,1,male,40.0,0,0,27.7208,C,Mr,Adult,0,Unknown,0,27.7208,3.357621598945279,1,1
66,1,3,male,4.0,1,1,15.2458,C,Master,Child,0,Unknown,0,15.2458,2.7878344138303452,3,0
67,1,2,female,29.0,0,0,10.5,S,Mrs,Young Adult,1,F,0,10.5,2.4423470353692043,1,1
68,0,3,male,19.0,0,0,8.1583,S,Mr,Young Adult,0,Unknown,0,8.1583,2.2146605719425225,1,1
69,1,3,female,17.0,4,2,7.925,S,Miss,Teen,0,Unknown,0,7.925,2.188856327665703,7,0
70,0,3,male,26.0,2,0,8.6625,S,Mr,Young Adult,0,Unknown,0,8.6625,2.2682524139135403,3,0
71,0,2,male,32.0,0,0,10.5,S,Mr,Young Adult,0,Unknown,0,10.5,2.4423470353692043,1,1
72,0,3,female,16.0,5,2,46.9,S,Miss,Teen,0,Unknown,0,46.9,3.8691155044168695,8,0
73,0,2,male,21.0,0,0,73.5,S,Mr,Young Adult,0,Unknown,0,65.6344,4.310799125385514,1,1
74,0,3,male,26.0,1,0,14.4542,C,Mr,Young Adult,0,Unknown,0,14.4542,2.737880811060884,2,0
75,1,3,male,32.0,0,0,56.4958,S,Mr,Young Adult,0,Unknown,0,56.4958,4.05171190165724,1,1
76,0,3,male,25.0,0,0,7.65,S,Mr,Young Adult,1,F,0,7.65,2.157559320943788,1,1
77,0,3,male,26.0,0,0,7.8958,S,Mr,Young Adult,0,Unknown,0,7.8958,2.1855792552411137,1,1
78,0,3,male,26.0,0,0,8.05,S,Mr,Young Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
79,1,2,male,0.83,0,2,29.0,S,Master,Child,0,Unknown,0,29.0,3.4011973816621555,3,0
80,1,3,female,30.0,0,0,12.475,S,Miss,Young Adult,0,Unknown,0,12.475,2.600836116795061,1,1
81,0,3,male,22.0,0,0,9.0,S,Mr,Young Adult,0,Unknown,0,9.0,2.302585092994046,1,1
82,1,3,male,29.0,0,0,9.5,S,Mr,Young Adult,0,Unknown,0,9.5,2.3513752571634776,1,1
83,1,3,female,18.0,0,0,7.7875,Q,Miss,Teen,0,Unknown,0,7.7875,2.1733302571367834,1,1
84,0,1,male,28.0,0,0,47.1,S,Mr,Young Adult,0,Unknown,0,47.1,3.8732821771117156,1,1
85,1,2,female,17.0,0,0,10.5,S,Miss,Teen,0,Unknown,0,10.5,2.4423470353692043,1,1
86,1,3,female,33.0,3,0,15.85,S,Mrs,Young Adult,0,Unknown,0,15.85,2.8243506567983707,4,0
87,0,3,male,16.0,1,3,34.375,S,Mr,Teen,0,Unknown,0,34.375,3.5660053559634015,5,0
88,0,3,male,26.0,0,0,8.05,S,Mr,Young Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
89,1,1,female,23.0,3,2,263.0,S,Miss,Young Adult,1,C,0,65.6344,5.575949103146316,6,0
90,0,3,male,24.0,0,0,8.05,S,Mr,Young Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
91,0,3,male,29.0,0,0,8.05,S,Mr,Young Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
92,0,3,male,20.0,0,0,7.8542,S,Mr,Young Adult,0,Unknown,0,7.8542,2.180891922715322,1,1
93,0,1,male,46.0,1,0,61.175,S,Mr,Adult,1,E,0,61.175,4.1299529896894684,2,0
94,0,3,male,26.0,1,2,20.575,S,Mr,Young Adult,0,Unknown,0,20.575,3.0715352369694915,4,0
95,0,3,male,59.0,0,0,7.25,S,Mr,Adult,0,Unknown,0,7.25,2.1102132003465894,1,1
96,0,3,male,26.0,0,0,8.05,S,Mr,Young Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
97,0,1,male,71.0,0,0,34.6542,C,Mr,Senior,1,A,0,34.6542,3.57386695198272,1,1
98,1,1,male,23.0,0,1,63.3583,C,Mr,Young Adult,1,D,0,63.3583,4.164465907853638,2,0
99,1,2,female,34.0,0,1,23.0,S,Mrs,Young Adult,0,Unknown,0,23.0,3.1780538303479458,2,0
100,0,2,male,34.0,1,0,26.0,S,Mr,Young Adult,0,Unknown,0,26.0,3.295836866004329,2,0
101,0,3,female,28.0,0,0,7.8958,S,Miss,Young Adult,0,Unknown,0,7.8958,2.1855792552411137,1,1
102,0,3,male,26.0,0,0,7.8958,S,Mr,Young Adult,0,Unknown,0,7.8958,2.1855792552411137,1,1
103,0,1,male,21.0,0,1,77.2875,S,Mr,Young Adult,1,D,0,65.6344,4.360387947851531,2,0
104,0,3,male,33.0,0,0,8.6542,S,Mr,Young Adult,0,Unknown,0,8.6542,2.267393053825037,1,1
105,0,3,male,37.0,2,0,7.925,S,Mr,Adult,0,Unknown,0,7.925,2.188856327665703,3,0
106,0,3,male,28.0,0,0,7.8958,S,Mr,Young Adult,0,Unknown,0,7.8958,2.1855792552411137,1,1
107,1,3,female,21.0,0,0,7.65,S,Miss,Young Adult,0,Unknown,0,7.65,2.157559320943788,1,1
108,1,3,male,26.0,0,0,7.775,S,Mr,Young Adult,0,Unknown,0,7.775,2.1719067693519296,1,1
109,0,3,male,38.0,0,0,7.8958,S,Mr,Adult,0,Unknown,0,7.8958,2.1855792552411137,1,1
110,1,3,female,18.0,1,0,24.15,Q,Miss,Teen,0,Unknown,0,24.15,3.224857896545748,2,0
111,0,1,male,47.0,0,0,52.0,S,Mr,Adult,1,C,0,52.0,3.970291913552122,1,1
112,0,3,female,14.5,1,0,14.4542,C,Miss,Teen,0,Unknown,0,14.4542,2.737880811060884,2,0
113,0,3,male,22.0,0,0,8.05,S,Mr,Young Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
114,0,3,female,20.0,1,0,9.825,S,Miss,Young Adult,0,Unknown,0,9.825,2.3818582738885534,2,0
115,0,3,female,17.0,0,0,14.4583,C,Miss,Teen,0,Unknown,0,14.4583,2.738146075922933,1,1
116,0,3,male,21.0,0,0,7.925,S,Mr,Young Adult,0,Unknown,0,7.925,2.188856327665703,1,1
117,0,3,male,70.5,0,0,7.75,Q,Mr,Senior,0,Unknown,0,7.75,2.169053700369523,1,1
118,0,2,male,29.0,1,0,21.0,S,Mr,Young Adult,0,Unknown,0,21.0,3.091042453358316,2,0
119,0,1,male,24.0,0,1,247.5208,C,Mr,Young Adult,1,B,0,65.6344,5.515526544247129,2,0
120,0,3,female,2.0,4,2,31.275,S,Miss,Child,0,Unknown,0,31.275,3.4742929367327062,7,0
121,0,2,male,21.0,2,0,73.5,S,Mr,Young Adult,0,Unknown,0,65.6344,4.310799125385514,3,0
122,0,3,male,26.0,0,0,8.05,S,Mr,Young Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
123,0,2,male,32.5,1,0,30.0708,C,Mr,Young Adult,0,Unknown,0,30.0708,3.436268471383741,2,0
124,1,2,female,32.5,0,0,13.0,S,Miss,Young Adult,1,E,0,13.0,2.6390573296152584,1,1
125,0,1,male,54.0,0,1,77.2875,S,Mr,Adult,1,D,0,65.6344,4.360387947851531,2,0
126,1,3,male,12.0,1,0,11.2417,C,Master,Child,0,Unknown,0,11.2417,2.5048481563289,2,0
127,0,3,male,26.0,0,0,7.75,Q,Mr,Young Adult,0,Unknown,0,7.75,2.169053700369523,1,1
128,1,3,male,24.0,0,0,7.1417,S,Mr,Young Adult,0,Unknown,0,7.1417,2.0969990034181696,1,1
129,1,3,female,18.0,1,1,22.3583,C,Miss,Teen,1,F,0,22.3583,3.1509523813392697,3,0
130,0,3,male,45.0,0,0,6.975,S,Mr,Adult,0,Unknown,0,6.975,2.076311648670908,1,1
131,0,3,male,33.0,0,0,7.8958,C,Mr,Young Adult,0,Unknown,0,7.8958,2.1855792552411137,1,1
132,0,3,male,20.0,0,0,7.05,S,Mr,Young Adult,0,Unknown,0,7.05,2.0856720914304723,1,1
133,0,3,female,47.0,1,0,14.5,S,Mrs,Adult,0,Unknown,0,14.5,2.740840023925201,2,0
134,1,2,female,29.0,1,0,26.0,S,Mrs,Young Adult,0,Unknown,0,26.0,3.295836866004329,2,0
135,0,2,male,25.0,0,0,13.0,S,Mr,Young Adult,0,Unknown,0,13.0,2.6390573296152584,1,1
136,0,2,male,23.0,0,0,15.0458,C,Mr,Young Adult,0,Unknown,0,15.0458,2.775447133088262,1,1
137,1,1,female,19.0,0,2,26.2833,S,Miss,Young Adult,1,D,0,26.2833,3.3062747934011893,3,0
138,0,1,male,37.0,1,0,53.1,S,Mr,Adult,1,C,0,53.1,3.9908341858524357,2,0
139,0,3,male,16.0,0,0,9.2167,S,Mr,Teen,0,Unknown,0,9.2167,2.3240236363515288,1,1
140,0,1,male,24.0,0,0,79.2,C,Mr,Young Adult,1,B,0,65.6344,4.384523514872469,1,1
141,0,3,female,31.0,0,2,15.2458,C,Mrs,Young Adult,0,Unknown,0,15.2458,2.7878344138303452,3,0
142,1,3,female,22.0,0,0,7.75,S,Miss,Young Adult,0,Unknown,0,7.75,2.169053700369523,1,1
143,1,3,female,24.0,1,0,15.85,S,Mrs,Young Adult,0,Unknown,0,15.85,2.8243506567983707,2,0
144,0,3,male,19.0,0,0,6.75,Q,Mr,Young Adult,0,Unknown,0,6.75,2.0476928433652555,1,1
145,0,2,male,18.0,0,0,11.5,S,Mr,Teen,0,Unknown,0,11.5,2.5257286443082556,1,1
146,0,2,male,19.0,1,1,36.75,S,Mr,Young Adult,0,Unknown,0,36.75,3.6309854756950335,3,0
147,1,3,male,27.0,0,0,7.7958,S,Mr,Young Adult,0,Unknown,0,7.7958,2.174274334826008,1,1
148,0,3,female,9.0,2,2,34.375,S,Miss,Child,0,Unknown,0,34.375,3.5660053559634015,5,0
149,0,2,male,36.5,0,2,26.0,S,Mr,Adult,1,F,0,26.0,3.295836866004329,3,0
150,0,2,male,42.0,0,0,13.0,S,Rare,Adult,0,Unknown,0,13.0,2.6390573296152584,1,1
151,0,2,male,51.0,0,0,12.525,S,Rare,Adult,0,Unknown,0,12.525,2.6045398247325453,1,1
152,1,1,female,22.0,1,0,66.6,S,Mrs,Young Adult,1,C,0,65.6344,4.213607983048918,2,0
153,0,3,male,55.5,0,0,8.05,S,Mr,Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
154,0,3,male,40.5,0,2,14.5,S,Mr,Adult,0,Unknown,0,14.5,2.740840023925201,3,0
155,0,3,male,26.0,0,0,7.3125,S,Mr,Young Adult,0,Unknown,0,7.3125,2.1177604059819726,1,1
156,0,1,male,51.0,0,1,61.3792,C,Mr,Adult,0,Unknown,0,61.3792,4.133231886474144,2,0
157,1,3,female,16.0,0,0,7.7333,Q,Miss,Teen,0,Unknown,0,7.7333,2.167143305297764,1,1
158,0,3,male,30.0,0,0,8.05,S,Mr,Young Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
159,0,3,male,26.0,0,0,8.6625,S,Mr,Young Adult,0,Unknown,0,8.6625,2.2682524139135403,1,1
160,0,3,male,4.0,8,2,69.55,S,Master,Child,0,Unknown,0,65.6344,4.256321678298823,11,0
161,0,3,male,44.0,0,1,16.1,S,Mr,Adult,0,Unknown,0,16.1,2.8390784635086144,2,0
162,1,2,female,40.0,0,0,15.75,S,Mrs,Adult,0,Unknown,0,15.75,2.8183982582710754,1,1
163,0,3,male,26.0,0,0,7.775,S,Mr,Young Adult,0,Unknown,0,7.775,2.1719067693519296,1,1
164,0,3,male,17.0,0,0,8.6625,S,Mr,Teen,0,Unknown,0,8.6625,2.2682524139135403,1,1
165,0,3,male,1.0,4,1,39.6875,S,Master,Child,0,Unknown,0,39.6875,3.705920919968788,6,0
166,1,3,male,9.0,0,2,20.525,S,Master,Child,0,Unknown,0,20.525,3.0692150503137943,3,0
167,1,1,female,40.0,0,1,55.0,S,Mrs,Adult,1,E,0,55.0,4.02535169073515,2,0
168,0,3,female,45.0,1,4,27.9,S,Mrs,Adult,0,Unknown,0,27.9,3.3638415951183864,6,0
169,0,1,male,40.0,0,0,25.925,S,Mr,Adult,0,Unknown,0,25.925,3.2930552230424524,1,1
170,0,3,male,28.0,0,0,56.4958,S,Mr,Young Adult,0,Unknown,0,56.4958,4.05171190165724,1,1
171,0,1,male,61.0,0,0,33.5,S,Mr,Senior,1,B,0,33.5,3.5409593240373143,1,1
172,0,3,male,4.0,4,1,29.125,Q,Master,Child,0,Unknown,0,29.125,3.405355391810819,6,0
173,1,3,female,1.0,1,1,11.1333,S,Miss,Child,0,Unknown,0,11.1333,2.495953738718064,3,0
174,0,3,male,21.0,0,0,7.925,S,Mr,Young Adult,0,Unknown,0,7.925,2.188856327665703,1,1
175,0,1,male,56.0,0,0,30.6958,C,Mr,Adult,1,A,0,30.6958,3.4561841799918147,1,1
176,0,3,male,18.0,1,1,7.8542,S,Mr,Teen,0,Unknown,0,7.8542,2.180891922715322,3,0
177,0,3,male,4.0,3,1,25.4667,S,Master,Child,0,Unknown,0,25.4667,3.275887339030031,5,0
178,0,1,female,50.0,0,0,28.7125,C,Miss,Adult,1,C,0,28.7125,3.391567832686312,1,1
179,0,2,male,30.0,0,0,13.0,S,Mr,Young Adult,0,Unknown,0,13.0,2.6390573296152584,1,1
180,0,3,male,36.0,0,0,0.0,S,Mr,Adult,0,Unknown,1,0.0,0.0,1,1
181,0,3,female,18.0,8,2,69.55,S,Miss,Teen,0,Unknown,0,65.6344,4.256321678298823,11,0
182,0,2,male,31.0,0,0,15.05,C,Mr,Young Adult,0,Unknown,0,15.05,2.775708849576025,1,1
183,0,3,male,9.0,4,2,31.3875,S,Master,Child,0,Unknown,0,31.3875,3.4777725458882283,7,0
184,1,2,male,1.0,2,1,39.0,S,Master,Child,1,F,0,39.0,3.6888794541139363,4,0
185,1,3,female,4.0,0,2,22.025,S,Miss,Child,0,Unknown,0,22.025,3.1365805821413706,3,0
186,0,1,male,40.0,0,0,50.0,S,Mr,Adult,1,A,0,50.0,3.9318256327243257,1,1
187,1,3,female,31.0,1,0,15.5,Q,Mrs,Young Adult,0,Unknown,0,15.5,2.803360380906535,2,0
188,1,1,male,45.0,0,0,26.55,S,Mr,Adult,0,Unknown,0,26.55,3.3160025355989236,1,1
189,0,3,male,40.0,1,1,15.5,Q,Mr,Adult,0,Unknown,0,15.5,2.803360380906535,3,0
190,0,3,male,36.0,0,0,7.8958,S,Mr,Adult,0,Unknown,0,7.8958,2.1855792552411137,1,1
191,1,2,female,32.0,0,0,13.0,S,Mrs,Young Adult,0,Unknown,0,13.0,2.6390573296152584,1,1
192,0,2,male,19.0,0,0,13.0,S,Mr,Young Adult,0,Unknown,0,13.0,2.6390573296152584,1,1
193,1,3,female,19.0,1,0,7.8542,S,Miss,Young Adult,0,Unknown,0,7.8542,2.180891922715322,2,0
194,1,2,male,3.0,1,1,26.0,S,Master,Child,1,F,0,26.0,3.295836866004329,3,0
195,1,1,female,44.0,0,0,27.7208,C,Mrs,Adult,1,B,0,27.7208,3.357621598945279,1,1
196,1,1,female,58.0,0,0,146.5208,C,Miss,Adult,1,B,0,65.6344,4.993969182787072,1,1
197,0,3,male,26.0,0,0,7.75,Q,Mr,Young Adult,0,Unknown,0,7.75,2.169053700369523,1,1
198,0,3,male,42.0,0,1,8.4042,S,Mr,Adult,0,Unknown,0,8.4042,2.2411563979973974,2,0
199,1,3,female,18.0,0,0,7.75,Q,Miss,Teen,0,Unknown,0,7.75,2.169053700369523,1,1
200,0,2,female,24.0,0,0,13.0,S,Miss,Young Adult,0,Unknown,0,13.0,2.6390573296152584,1,1
201,0,3,male,28.0,0,0,9.5,S,Mr,Young Adult,0,Unknown,0,9.5,2.3513752571634776,1,1
202,0,3,male,26.0,8,2,69.55,S,Mr,Young Adult,0,Unknown,0,65.6344,4.256321678298823,11,0
203,0,3,male,34.0,0,0,6.4958,S,Mr,Young Adult,0,Unknown,0,6.4958,2.0143428636837015,1,1
204,0,3,male,45.5,0,0,7.225,C,Mr,Adult,0,Unknown,0,7.225,2.1071782966514356,1,1
205,1,3,male,18.0,0,0,8.05,S,Mr,Teen,0,Unknown,0,8.05,2.2027647577118348,1,1
206,0,3,female,2.0,0,1,10.4625,S,Miss,Child,1,G,0,10.4625,2.4390808375825834,2,0
207,0,3,male,32.0,1,0,15.85,S,Mr,Young Adult,0,Unknown,0,15.85,2.8243506567983707,2,0
208,1,3,male,26.0,0,0,18.7875,C,Mr,Young Adult,0,Unknown,0,18.7875,2.9850504252071306,1,1
209,1,3,female,16.0,0,0,7.75,Q,Miss,Teen,0,Unknown,0,7.75,2.169053700369523,1,1
210,1,1,male,40.0,0,0,31.0,C,Mr,Adult,1,A,0,31.0,3.4657359027997265,1,1
211,0,3,male,24.0,0,0,7.05,S,Mr,Young Adult,0,Unknown,0,7.05,2.0856720914304723,1,1
212,1,2,female,35.0,0,0,21.0,S,Miss,Young Adult,0,Unknown,0,21.0,3.091042453358316,1,1
213,0,3,male,22.0,0,0,7.25,S,Mr,Young Adult,0,Unknown,0,7.25,2.1102132003465894,1,1
214,0,2,male,30.0,0,0,13.0,S,Mr,Young Adult,0,Unknown,0,13.0,2.6390573296152584,1,1
215,0,3,male,26.0,1,0,7.75,Q,Mr,Young Adult,0,Unknown,0,7.75,2.169053700369523,2,0
216,1,1,female,31.0,1,0,113.275,C,Miss,Young Adult,1,D,0,65.6344,4.738607824217808,2,0
217,1,3,female,27.0,0,0,7.925,S,Miss,Young Adult,0,Unknown,0,7.925,2.188856327665703,1,1
218,0,2,male,42.0,1,0,27.0,S,Mr,Adult,0,Unknown,0,27.0,3.332204510175204,2,0
219,1,1,female,32.0,0,0,76.2917,C,Miss,Young Adult,1,D,0,65.6344,4.347586575960343,1,1
220,0,2,male,30.0,0,0,10.5,S,Mr,Young Adult,0,Unknown,0,10.5,2.4423470353692043,1,1
221,1,3,male,16.0,0,0,8.05,S,Mr,Teen,0,Unknown,0,8.05,2.2027647577118348,1,1
222,0,2,male,27.0,0,0,13.0,S,Mr,Young Adult,0,Unknown,0,13.0,2.6390573296152584,1,1
223,0,3,male,51.0,0,0,8.05,S,Mr,Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
224,0,3,male,26.0,0,0,7.8958,S,Mr,Young Adult,0,Unknown,0,7.8958,2.1855792552411137,1,1
225,1,1,male,38.0,1,0,90.0,S,Mr,Adult,1,C,0,65.6344,4.51085950651685,2,0
226,0,3,male,22.0,0,0,9.35,S,Mr,Young Adult,0,Unknown,0,9.35,2.336986519711378,1,1
227,1,2,male,19.0,0,0,10.5,S,Mr,Young Adult,0,Unknown,0,10.5,2.4423470353692043,1,1
228,0,3,male,20.5,0,0,7.25,S,Mr,Young Adult,0,Unknown,0,7.25,2.1102132003465894,1,1
229,0,2,male,18.0,0,0,13.0,S,Mr,Teen,0,Unknown,0,13.0,2.6390573296152584,1,1
230,0,3,female,18.0,3,1,25.4667,S,Miss,Teen,0,Unknown,0,25.4667,3.275887339030031,5,0
231,1,1,female,35.0,1,0,83.475,S,Mrs,Young Adult,1,C,0,65.6344,4.436455632600354,2,0
232,0,3,male,29.0,0,0,7.775,S,Mr,Young Adult,0,Unknown,0,7.775,2.1719067693519296,1,1
233,0,2,male,59.0,0,0,13.5,S,Mr,Adult,0,Unknown,0,13.5,2.6741486494265287,1,1
234,1,3,female,5.0,4,2,31.3875,S,Miss,Child,0,Unknown,0,31.3875,3.4777725458882283,7,0
235,0,2,male,24.0,0,0,10.5,S,Mr,Young Adult,0,Unknown,0,10.5,2.4423470353692043,1,1
236,0,3,female,18.0,0,0,7.55,S,Miss,Teen,0,Unknown,0,7.55,2.145931282948669,1,1
237,0,2,male,44.0,1,0,26.0,S,Mr,Adult,0,Unknown,0,26.0,3.295836866004329,2,0
238,1,2,female,8.0,0,2,26.25,S,Miss,Child,0,Unknown,0,26.25,3.305053521109253,3,0
239,0,2,male,19.0,0,0,10.5,S,Mr,Young Adult,0,Unknown,0,10.5,2.4423470353692043,1,1
240,0,2,male,33.0,0,0,12.275,S,Mr,Young Adult,0,Unknown,0,12.275,2.5858825671280026,1,1
241,0,3,female,18.0,1,0,14.4542,C,Miss,Teen,0,Unknown,0,14.4542,2.737880811060884,2,0
242,1,3,female,18.0,1,0,15.5,Q,Miss,Teen,0,Unknown,0,15.5,2.803360380906535,2,0
243,0,2,male,29.0,0,0,10.5,S,Mr,Young Adult,0,Unknown,0,10.5,2.4423470353692043,1,1
